code,name,theme1,theme2,theme3,theme4,theme5,theme6,theme7,theme8,theme9,theme10,theme11,theme12,theme13,theme14,theme15,theme16,theme17,theme18,theme19,theme20,theme21,theme22,theme23,theme24
032500,케이엠더블유,5G(5세대 이동통신),통신장비,K-뉴딜지수,K-뉴딜지수(인터넷),LED,,,,,,,,,,,,,,,,,,,
050890,쏠리드,5G(5세대 이동통신),정치/인맥(이재명),제4이동통신,통신장비,,,,,,,,,,,,,,,,,,,,
138080,오이솔루션,5G(5세대 이동통신),통신장비,,,,,,,,,,,,,,,,,,,,,,
032640,LG유플러스,5G(5세대 이동통신),메타버스(Metaverse),사물인터넷,통신,4차산업 수혜주,스마트홈(홈네트워크),,,,,,,,,,,,,,,,,,
030200,KT,5G(5세대 이동통신),드론(Drone),메타버스(Metaverse),백신여권,블록체인,자율주행차,통신,4차산업 수혜주,모바일콘텐츠(스마트폰/태블릿PC),스마트홈(홈네트워크),인터넷은행,클라우드 컴퓨팅,핀테크(FinTech),RFID(NFC 등),,,,,,,,,,
078000,텔코웨어,5G(5세대 이동통신),모바일솔루션(스마트폰),,,,,,,,,,,,,,,,,,,,,,
178320,서진시스템,5G(5세대 이동통신),스마트폰,반도체 장비,전력저장장치(ESS),통신장비,휴대폰부품,K-뉴딜지수,K-뉴딜지수(인터넷),,,,,,,,,,,,,,,,
192410,THQ,5G(5세대 이동통신),4차산업 수혜주,통신장비,,,,,,,,,,,,,,,,,,,,,
066570,LG전자,5G(5세대 이동통신),공기청정기,무선충전기술,자율주행차,IT 대표주,4차산업 수혜주,가상현실(VR),마이크로 LED,스마트홈(홈네트워크),전기차,전력저장장치(ESS),제습기,지능형로봇/인공지능(AI),태양광에너지,LED,OLED(유기 발광 다이오드),,,,,,,,
088800,에이스테크,5G(5세대 이동통신),방위산업/전쟁 및 테러,스마트폰,자율주행차,4차산업 수혜주,통신장비,RFID(NFC 등),,,,,,,,,,,,,,,,,
095270,웨이브일렉트로,5G(5세대 이동통신),방위산업/전쟁 및 테러,통신장비,,,,,,,,,,,,,,,,,,,,,
010170,대한광통신,5G(5세대 이동통신),,,,,,,,,,,,,,,,,,,,,,,
215790,이노인스트루먼트,5G(5세대 이동통신),통신장비,,,,,,,,,,,,,,,,,,,,,,
073490,이노와이어리스,5G(5세대 이동통신),통신장비,,,,,,,,,,,,,,,,,,,,,,
218410,RFHIC,5G(5세대 이동통신),통신장비,,,,,,,,,,,,,,,,,,,,,,
037460,삼지전자,5G(5세대 이동통신),통신장비,,,,,,,,,,,,,,,,,,,,,,
035460,기산텔레콤,5G(5세대 이동통신),드론(Drone),방위산업/전쟁 및 테러,통신장비,,,,,,,,,,,,,,,,,,,,
056360,코위버,5G(5세대 이동통신),통신장비,,,,,,,,,,,,,,,,,,,,,,
091440,텔레필드,5G(5세대 이동통신),사물인터넷,스마트홈(홈네트워크),통신장비,,,,,,,,,,,,,,,,,,,,
049080,기가레인,5G(5세대 이동통신),갤럭시 부품주,사물인터넷,스마트폰,LED장비,반도체 장비,통신장비,휴대폰부품,,,,,,,,,,,,,,,,
127160,매직마이크로,5G(5세대 이동통신),반도체 재료/부품,LED,,,,,,,,,,,,,,,,,,,,,
073540,에프알텍,5G(5세대 이동통신),통신장비,LED,,,,,,,,,,,,,,,,,,,,,
007660,이수페타시스,5G(5세대 이동통신),갤럭시 부품주,스마트폰,PCB(FPCB 등),우주항공산업,,,,,,,,,,,,,,,,,,,
230240,에치에프알,5G(5세대 이동통신),통신장비,,,,,,,,,,,,,,,,,,,,,,
